Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
2,ISS Voice/SSTV,145.8,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,2M Amateur Band (145MHz),,,,
3,RV46,145.575,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,2M Amateur Band (145MHz),,,,
4,RV47,145.5875,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,2M Amateur Band (145MHz),,,,
5,RV48,145.6,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,2M Amateur Band (145MHz),,,,
6,RV49,145.6125,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,2M Amateur Band (145MHz),,,,
7,RV50,145.625,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,2M Amateur Band (145MHz),,,,
8,RV51,145.6375,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,2M Amateur Band (145MHz),,,,
9,RV52,145.65,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,2M Amateur Band (145MHz),,,,
10,RV53,145.6625,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,2M Amateur Band (145MHz),,,,
11,RV54,145.675,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,2M Amateur Band (145MHz),,,,
12,RV55,145.6875,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,2M Amateur Band (145MHz),,,,
13,RV56,145.7,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,2M Amateur Band (145MHz),,,,
14,RV57,145.7125,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,2M Amateur Band (145MHz),,,,
15,RV58,145.725,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,2M Amateur Band (145MHz),,,,
16,RV59,145.7375,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,2M Amateur Band (145MHz),,,,
17,RV60,145.75,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,2M Amateur Band (145MHz),,,,
18,RV61,145.7625,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,2M Amateur Band (145MHz),,,,
19,RV62,145.775,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,2M Amateur Band (145MHz),,,,
20,RV63,145.7875,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,2M Amateur Band (145MHz),,,,
21,V16,145.2,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,2M Amateur Band (145MHz),,,,
22,V17,145.2125,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,2M Amateur Band (145MHz),,,,
23,V18,145.225,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,2M Amateur Band (145MHz),,,,
24,V19,145.2375,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,2M Amateur Band (145MHz),,,,
25,V20,145.25,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,2M Amateur Band (145MHz),,,,
26,V21,145.2625,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,2M Amateur Band (145MHz),,,,
27,V22,145.275,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,2M Amateur Band (145MHz),,,,
28,V23,145.2875,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,2M Amateur Band (145MHz),,,,
29,V24,145.3,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,2M Amateur Band (145MHz),,,,
30,V25,145.3125,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,2M Amateur Band (145MHz),,,,
31,V26,145.325,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,2M Amateur Band (145MHz),,,,
32,V27,145.3375,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,2M Amateur Band (145MHz),,,,
33,V28,145.35,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,2M Amateur Band (145MHz),,,,
34,V29,145.3625,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,2M Amateur Band (145MHz),,,,
35,V30,145.375,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,2M Amateur Band (145MHz),,,,
