Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,ISS Voice/SSTV,145.8,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,2M Amateur Band (145MHz),,,,
2,RV46,145.575,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,2M Amateur Band (145MHz),,,,
3,RV47,145.5875,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,2M Amateur Band (145MHz),,,,
4,RV48,145.6,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,2M Amateur Band (145MHz),,,,
5,RV49,145.6125,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,2M Amateur Band (145MHz),,,,
6,RV50,145.625,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,2M Amateur Band (145MHz),,,,
7,RV51,145.6375,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,2M Amateur Band (145MHz),,,,
8,RV52,145.65,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,2M Amateur Band (145MHz),,,,
9,RV53,145.6625,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,2M Amateur Band (145MHz),,,,
10,RV54,145.675,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,2M Amateur Band (145MHz),,,,
11,RV55,145.6875,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,2M Amateur Band (145MHz),,,,
12,RV56,145.7,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,2M Amateur Band (145MHz),,,,
13,RV57,145.7125,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,2M Amateur Band (145MHz),,,,
14,RV58,145.725,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,2M Amateur Band (145MHz),,,,
