Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,RBW00,433.0,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,70cm Amateur Band (430-440MHz),,,,
2,RBW01,433.0125,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,70cm Amateur Band (430-440MHz),,,,
3,RBW02,433.025,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,70cm Amateur Band (430-440MHz),,,,
4,RBW03,433.0375,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,70cm Amateur Band (430-440MHz),,,,
5,RBW04,433.05,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,70cm Amateur Band (430-440MHz),,,,
6,RBW05,433.0625,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,70cm Amateur Band (430-440MHz),,,,
7,RBW06,433.075,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,70cm Amateur Band (430-440MHz),,,,
8,RBW07,433.0875,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,70cm Amateur Band (430-440MHz),,,,
9,RBW08,433.1,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,70cm Amateur Band (430-440MHz),,,,
10,RBW09,433.1125,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,70cm Amateur Band (430-440MHz),,,,
11,RBW10,433.125,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,70cm Amateur Band (430-440MHz),,,,
12,RBW11,433.1375,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,70cm Amateur Band (430-440MHz),,,,
13,RBW12,433.15,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,70cm Amateur Band (430-440MHz),,,,
14,RBW13,433.1625,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,70cm Amateur Band (430-440MHz),,,,
15,RBW14,433.175,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,70cm Amateur Band (430-440MHz),,,,
16,RBW15,433.1875,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,70cm Amateur Band (430-440MHz),,,,
17,RBW16,433.2,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,70cm Amateur Band (430-440MHz),,,,
18,RBW17,433.2125,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,70cm Amateur Band (430-440MHz),,,,
19,RBW18,433.225,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,70cm Amateur Band (430-440MHz),,,,
20,RBW19,433.2375,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,70cm Amateur Band (430-440MHz),,,,
21,RBW20,433.25,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,70cm Amateur Band (430-440MHz),,,,
22,RBW21,433.2625,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,70cm Amateur Band (430-440MHz),,,,
23,RBW22,433.275,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,70cm Amateur Band (430-440MHz),,,,
24,RBW23,433.2875,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,70cm Amateur Band (430-440MHz),,,,
25,RBW24,433.3,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,70cm Amateur Band (430-440MHz),,,,
26,RBW25,433.3125,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,70cm Amateur Band (430-440MHz),,,,
27,RBW26,433.325,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,70cm Amateur Band (430-440MHz),,,,
28,RBW27,433.3375,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,70cm Amateur Band (430-440MHz),,,,
29,RBW28,433.35,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,70cm Amateur Band (430-440MHz),,,,
30,RBW29,433.3625,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,70cm Amateur Band (430-440MHz),,,,
31,RBW30,433.375,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,70cm Amateur Band (430-440MHz),,,,
32,RU65,430.8125,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,70cm Amateur Band (430-440MHz),,,,
33,RU66,430.825,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,70cm Amateur Band (430-440MHz),,,,
