Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,SATCOM PIRATE 1,249.45,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Brazilian Satcom Pirates (250-270MHz),,,,
2,SATCOM PIRATE 2,249.85,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Brazilian Satcom Pirates (250-270MHz),,,,
3,SATCOM PIRATE 3,250.19,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Brazilian Satcom Pirates (250-270MHz),,,,
4,SATCOM PIRATE 4,250.65,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Brazilian Satcom Pirates (250-270MHz),,,,
5,SATCOM PIRATE 5,251.71,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Brazilian Satcom Pirates (250-270MHz),,,,
6,SATCOM PIRATE 6,251.95,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Brazilian Satcom Pirates (250-270MHz),,,,
7,SATCOM PIRATE 7,253.85,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Brazilian Satcom Pirates (250-270MHz),,,,
8,SATCOM PIRATE 8,254.15,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Brazilian Satcom Pirates (250-270MHz),,,,
9,SATCOM PIRATE 9,255.54,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Brazilian Satcom Pirates (250-270MHz),,,,
10,SATCOM PIRATE 10,255.55,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Brazilian Satcom Pirates (250-270MHz),,,,
11,SATCOM PIRATE 11,257.05,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Brazilian Satcom Pirates (250-270MHz),,,,
12,SATCOM PIRATE 12,257.55,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Brazilian Satcom Pirates (250-270MHz),,,,
13,SATCOM PIRATE 13,260.375,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Brazilian Satcom Pirates (250-270MHz),,,,
14,SATCOM PIRATE 14,260.475,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Brazilian Satcom Pirates (250-270MHz),,,,
15,SATCOM PIRATE 15,261.4,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Brazilian Satcom Pirates (250-270MHz),,,,
16,SATCOM PIRATE 16,261.45,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Brazilian Satcom Pirates (250-270MHz),,,,
17,SATCOM PIRATE 17,262.325,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Brazilian Satcom Pirates (250-270MHz),,,,
18,SATCOM PIRATE 18,262.425,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Brazilian Satcom Pirates (250-270MHz),,,,
19,SATCOM PIRATE 19,262.845,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Brazilian Satcom Pirates (250-270MHz),,,,
20,SATCOM PIRATE 20,263.575,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Brazilian Satcom Pirates (250-270MHz),,,,
21,SATCOM PIRATE 21,263.675,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Brazilian Satcom Pirates (250-270MHz),,,,
22,SATCOM PIRATE 22,263.755,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Brazilian Satcom Pirates (250-270MHz),,,,
23,SATCOM PIRATE 23,263.77,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Brazilian Satcom Pirates (250-270MHz),,,,
24,SATCOM PIRATE 24,263.8,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Brazilian Satcom Pirates (250-270MHz),,,,
25,SATCOM PIRATE 25,263.925,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Brazilian Satcom Pirates (250-270MHz),,,,
