Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,FRS Channel 01,462.5625,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Family Radio Service (462-467MHz),,,,
2,FRS Channel 02,462.5875,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Family Radio Service (462-467MHz),,,,
3,FRS Channel 03,462.6125,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Family Radio Service (462-467MHz),,,,
4,FRS Channel 04,462.6375,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Family Radio Service (462-467MHz),,,,
5,FRS Channel 05,462.6625,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Family Radio Service (462-467MHz),,,,
6,FRS Channel 06,462.6875,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Family Radio Service (462-467MHz),,,,
7,FRS Channel 07,462.7125,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Family Radio Service (462-467MHz),,,,
8,FRS Channel 08,467.5625,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Family Radio Service (462-467MHz),,,,
9,FRS Channel 09,467.5875,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Family Radio Service (462-467MHz),,,,
10,FRS Channel 10,467.6125,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Family Radio Service (462-467MHz),,,,
11,FRS Channel 11,467.6375,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Family Radio Service (462-467MHz),,,,
12,FRS Channel 12,467.6625,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Family Radio Service (462-467MHz),,,,
13,FRS Channel 13,467.6875,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Family Radio Service (462-467MHz),,,,
14,FRS Channel 14,467.7125,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Family Radio Service (462-467MHz),,,,
15,FRS Channel 15,462.55,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Family Radio Service (462-467MHz),,,,
16,FRS Channel 16,462.575,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Family Radio Service (462-467MHz),,,,
17,FRS Channel 17,462.6,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Family Radio Service (462-467MHz),,,,
18,FRS Channel 18,462.625,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Family Radio Service (462-467MHz),,,,
19,FRS Channel 19,462.65,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Family Radio Service (462-467MHz),,,,
20,FRS Channel 20,462.675,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Family Radio Service (462-467MHz),,,,
21,FRS Channel 21,462.7,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Family Radio Service (462-467MHz),,,,
22,FRS Channel 22,462.725,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Family Radio Service (462-467MHz),,,,
