Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,Marine UHF 1,457.5,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Marine UHF (457-467MHz),,,,
2,Marine UHF 2,457.513,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Marine UHF (457-467MHz),,,,
3,Marine UHF 3,457.525,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Marine UHF (457-467MHz),,,,
4,Marine UHF 4,457.538,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Marine UHF (457-467MHz),,,,
5,Marine UHF 5,457.55,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Marine UHF (457-467MHz),,,,
6,Marine UHF 6,457.563,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Marine UHF (457-467MHz),,,,
7,Marine UHF 7,457.575,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Marine UHF (457-467MHz),,,,
8,Marine UHF 8,457.588,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Marine UHF (457-467MHz),,,,
9,Marine UHF 9,457.6,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Marine UHF (457-467MHz),,,,
10,Marine UHF 10,457.613,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Marine UHF (457-467MHz),,,,
11,Marine UHF 11,457.625,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Marine UHF (457-467MHz),,,,
12,Marine UHF 12,457.638,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Marine UHF (457-467MHz),,,,
13,Marine UHF 13,457.65,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Marine UHF (457-467MHz),,,,
14,Marine UHF 14,457.663,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Marine UHF (457-467MHz),,,,
