Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,Marine VHF Channel 00 Coastguard SAR,156.0,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Marine VHF (156-162MHz),,,,
2,Marine VHF Channel 01 Ship to Shore Public & Port Ops Duplex (shore 160.650),156.05,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Marine VHF (156-162MHz),,,,
3,Marine VHF Channel 02 Ship to Shore Public & Port Ops Duplex (shore 160.700),156.1,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Marine VHF (156-162MHz),,,,
4,Marine VHF Channel 03 Ship to Shore Public & Port Ops Duplex (shore 160.750),156.15,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Marine VHF (156-162MHz),,,,
5,Marine VHF Channel 04 Ship to Shore Public & Port Ops Duplex (shore 160.800),156.2,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Marine VHF (156-162MHz),,,,
6,Marine VHF Channel 05 Ship to Shore Public & Port Ops Duplex (shore 160.850),156.25,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Marine VHF (156-162MHz),,,,
7,Marine VHF Channel 06 Intership Ship to Air & SAR,156.3,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Marine VHF (156-162MHz),,,,
8,Marine VHF Channel 07 Ship to Shore Public & Port Ops Duplex (shore 160.950),156.35,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Marine VHF (156-162MHz),,,,
9,Marine VHF Channel 08 Intership Working,156.4,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Marine VHF (156-162MHz),,,,
10,Marine VHF Channel 09 Intership & Port Ops,156.45,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Marine VHF (156-162MHz),,,,
11,Marine VHF Channel 1 Shore to Ship Public & Port OPS Duplex (shore 156.050),160.65,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Marine VHF (156-162MHz),,,,
12,Marine VHF Channel 2 Shore to Ship Public & Port OPS Duplex (shore 156.100),160.7,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Marine VHF (156-162MHz),,,,
13,Marine VHF Channel 3 Shore to Ship Public & Port OPS Duplex (shore 156.150),160.75,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Marine VHF (156-162MHz),,,,
14,Marine VHF Channel 4 Shore to Ship Public & Port OPS Duplex (shore 156.200),160.8,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Marine VHF (156-162MHz),,,,
15,Marine VHF Channel 5 Shore to Ship Public & Port OPS Duplex (shore 156.250),160.85,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Marine VHF (156-162MHz),,,,
16,Marine VHF Channel 7 Shore to Ship Public & Port OPS Duplex (shore 156.350),160.95,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Marine VHF (156-162MHz),,,,
17,Marine VHF Channel 10 Intership & Port Ops,156.5,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Marine VHF (156-162MHz),,,,
18,Marine VHF Channel 11 Port Ops,156.55,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Marine VHF (156-162MHz),,,,
19,Marine VHF Channel 12 Port Ops,156.6,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Marine VHF (156-162MHz),,,,
20,Marine VHF Channel 13 Intership Nav & Safety,156.65,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Marine VHF (156-162MHz),,,,
21,Marine VHF Channel 14 Port Ops,156.7,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Marine VHF (156-162MHz),,,,
22,Marine VHF Channel 15 Intership & Inland Waterways,156.75,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Marine VHF (156-162MHz),,,,
23,Marine VHF Channel 16 Distress,156.8,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Marine VHF (156-162MHz),,,,
24,Marine VHF Channel 17 Intership & Inland Waterways,156.85,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Marine VHF (156-162MHz),,,,
25,Marine VHF Channel 18 Ship to Shore Port Ops Duplex (shore 161.500),156.9,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Marine VHF (156-162MHz),,,,
26,Marine VHF Channel 18 Shore to Ship Port Ops Duplex (shore 156.900),161.5,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Marine VHF (156-162MHz),,,,
