Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,PMR446 Channel 01,446.00625,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,PMR446 (446MHz),,,,
2,PMR446 Channel 02,446.01875,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,PMR446 (446MHz),,,,
3,PMR446 Channel 03,446.03125,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,PMR446 (446MHz),,,,
4,PMR446 Channel 04,446.04375,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,PMR446 (446MHz),,,,
5,PMR446 Channel 05,446.05625,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,PMR446 (446MHz),,,,
6,PMR446 Channel 06,446.06875,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,PMR446 (446MHz),,,,
7,PMR446 Channel 07,446.08125,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,PMR446 (446MHz),,,,
8,PMR446 Channel 08,446.09375,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,PMR446 (446MHz),,,,
9,PMR446 Channel 09,446.10625,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,PMR446 (446MHz),,,,
10,PMR446 Channel 10,446.11875,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,PMR446 (446MHz),,,,
11,PMR446 Channel 11,446.13125,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,PMR446 (446MHz),,,,
12,PMR446 Channel 12,446.14375,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,PMR446 (446MHz),,,,
13,PMR446 Channel 13,446.15625,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,PMR446 (446MHz),,,,
14,PMR446 Channel 14,446.16875,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,PMR446 (446MHz),,,,
15,PMR446 Channel 15,446.18125,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,PMR446 (446MHz),,,,
16,PMR446 Channel 16,446.19375,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,PMR446 (446MHz),,,,
