Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,PMSE 446 Base B1,446.43125,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Programme Making & Special Events (446-468MHz),,,,
2,PMSE 446 Base A1 B2,446.45625,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Programme Making & Special Events (446-468MHz),,,,
3,PMSE 446 Base B3,446.49375,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Programme Making & Special Events (446-468MHz),,,,
4,PMSE 446 Base A2,446.50625,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Programme Making & Special Events (446-468MHz),,,,
5,PMSE 446 Base B4,446.56875,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Programme Making & Special Events (446-468MHz),,,,
6,PMSE 446 Base A3,446.58125,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Programme Making & Special Events (446-468MHz),,,,
7,PMSE 446 Base A4,446.60625,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Programme Making & Special Events (446-468MHz),,,,
8,PMSE 446 Base A5 B5,446.78125,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Programme Making & Special Events (446-468MHz),,,,
9,PMSE 446 Base B6,446.88125,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Programme Making & Special Events (446-468MHz),,,,
10,PMSE 446 Base A6,446.89375,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Programme Making & Special Events (446-468MHz),,,,
11,PMSE 447 Base Simplex 1,447.01875,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Programme Making & Special Events (446-468MHz),,,,
12,PMSE 447 Base Simplex 2,447.03125,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Programme Making & Special Events (446-468MHz),,,,
13,PMSE 447 Base Simplex 3,447.04375,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Programme Making & Special Events (446-468MHz),,,,
14,PMSE 447 Base Simplex 4,447.05625,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Programme Making & Special Events (446-468MHz),,,,
15,PMSE 447 Base Simplex 5,447.36875,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Programme Making & Special Events (446-468MHz),,,,
16,PMSE 447 Base Simplex 6,447.38125,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Programme Making & Special Events (446-468MHz),,,,
17,PMSE 447 Base Simplex 7,447.39375,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Programme Making & Special Events (446-468MHz),,,,
18,PMSE 447 Base Simplex 8,447.40625,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Programme Making & Special Events (446-468MHz),,,,
19,PMSE 447 Base Simplex 9,447.41875,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Programme Making & Special Events (446-468MHz),,,,
20,PMSE 447 Base Simplex 10,447.43125,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Programme Making & Special Events (446-468MHz),,,,
21,PMSE 447 Base Simplex 11,447.44375,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Programme Making & Special Events (446-468MHz),,,,
22,PMSE 447 Base Simplex 12,447.45625,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Programme Making & Special Events (446-468MHz),,,,
23,PMSE 447 Base Simplex 13,447.46875,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Programme Making & Special Events (446-468MHz),,,,
24,PMSE 447 Base Simplex 14,447.48125,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Programme Making & Special Events (446-468MHz),,,,
25,PMSE 447 Base Simplex 15,447.49375,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Programme Making & Special Events (446-468MHz),,,,
26,PMSE 447 Base Simplex 16,447.50625,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Programme Making & Special Events (446-468MHz),,,,
27,PMSE 455 Base D1 London Only,454.99375,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Programme Making & Special Events (446-468MHz),,,,
28,PMSE 455 Base A1E1T1,455.00625,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Programme Making & Special Events (446-468MHz),,,,
29,PMSE 455 Base D2 London Only,455.01875,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Programme Making & Special Events (446-468MHz),,,,
30,PMSE 455 Base A2G1T2,455.03125,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Programme Making & Special Events (446-468MHz),,,,
31,PMSE 455 Base F1,455.09375,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Programme Making & Special Events (446-468MHz),,,,
32,PMSE 455 News Base 1,455.10625,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Programme Making & Special Events (446-468MHz),,,,
33,PMSE 455 News Base 2,455.11875,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Programme Making & Special Events (446-468MHz),,,,
34,PMSE 455 Base E2,455.13125,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Programme Making & Special Events (446-468MHz),,,,
35,PMSE 455 Base A3F2,455.19375,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Programme Making & Special Events (446-468MHz),,,,
36,PMSE 455 Base D3 London Only,455.20625,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Programme Making & Special Events (446-468MHz),,,,
37,PMSE 455 Base B1G2T3,455.21875,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Programme Making & Special Events (446-468MHz),,,,
38,PMSE 455 Base A4F3,455.23125,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Programme Making & Special Events (446-468MHz),,,,
39,PMSE 455 News Base 3,455.24375,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Programme Making & Special Events (446-468MHz),,,,
40,PMSE 455 Base C1G3T4,455.25625,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Programme Making & Special Events (446-468MHz),,,,
41,PMSE 455 News Base 4,455.26875,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Programme Making & Special Events (446-468MHz),,,,
42,PMSE 455 Base B2C2G4,455.28125,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Programme Making & Special Events (446-468MHz),,,,
43,PMSE 455 Base B3C3E3,455.39375,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Programme Making & Special Events (446-468MHz),,,,
44,PMSE 455 News Base 5,455.40625,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Programme Making & Special Events (446-468MHz),,,,
45,PMSE 455 Base E4,455.41875,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Programme Making & Special Events (446-468MHz),,,,
46,PMSE 455 News Base 6,455.43125,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Programme Making & Special Events (446-468MHz),,,,
47,PMSE 455 News 7 Simplex,455.44375,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Programme Making & Special Events (446-468MHz),,,,
48,PMSE 455 News Base 8,455.45625,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Programme Making & Special Events (446-468MHz),,,,
49,PMSE Base C1,457.25625,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Programme Making & Special Events (446-468MHz),,,,
50,PMSE Base A1,457.26875,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Programme Making & Special Events (446-468MHz),,,,
51,PMSE Base B1,457.28125,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Programme Making & Special Events (446-468MHz),,,,
52,PMSE Base D1,457.29375,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Programme Making & Special Events (446-468MHz),,,,
53,PMSE Base A2,457.30625,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Programme Making & Special Events (446-468MHz),,,,
