Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,Simple Site (Business): Mobile,159.6375,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Simple Site Business (159-459MHz),,,,
2,Simple Site (Business): Mobile,159.65,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Simple Site Business (159-459MHz),,,,
3,Simple Site (Business): Mobile,159.6625,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Simple Site Business (159-459MHz),,,,
4,Simple Site (Business): Mobile,159.675,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Simple Site Business (159-459MHz),,,,
5,Simple Site (Business): Mobile,159.7,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Simple Site Business (159-459MHz),,,,
6,Simple Site (Business): Mobile,161.0,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Simple Site Business (159-459MHz),,,,
7,Simple Site (Business): Mobile,161.0125,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Simple Site Business (159-459MHz),,,,
8,Simple Site (Business): Mobile,161.025,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Simple Site Business (159-459MHz),,,,
9,Simple Site (Business): Mobile,161.0375,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Simple Site Business (159-459MHz),,,,
10,Simple Site (Business): Mobile,161.05,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Simple Site Business (159-459MHz),,,,
11,Simple Site (Business): Mobile,161.0625,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Simple Site Business (159-459MHz),,,,
12,Simple Site (Business): Mobile,161.075,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Simple Site Business (159-459MHz),,,,
13,Simple Site (Business): Mobile,161.0875,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Simple Site Business (159-459MHz),,,,
14,Simple Site (Business): Mobile,161.1,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Simple Site Business (159-459MHz),,,,
15,Simple Site (Business): Mobile,161.1125,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Simple Site Business (159-459MHz),,,,
16,Simple Site (Business): Mobile,164.2,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Simple Site Business (159-459MHz),,,,
17,Simple Site (Business): Base,451.5125,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Simple Site Business (159-459MHz),,,,
18,Simple Site (Business): Base,451.525,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Simple Site Business (159-459MHz),,,,
19,Simple Site (Business): Base,451.5375,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Simple Site Business (159-459MHz),,,,
20,Simple Site (Business): Base,451.55,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Simple Site Business (159-459MHz),,,,
21,Simple Site (Business): Base,451.5625,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Simple Site Business (159-459MHz),,,,
22,Simple Site (Business): Base,451.775,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Simple Site Business (159-459MHz),,,,
23,Simple Site (Business): Mobile,458.5125,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Simple Site Business (159-459MHz),,,,
24,Simple Site (Business): Mobile,458.525,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Simple Site Business (159-459MHz),,,,
25,Simple Site (Business): Mobile,458.5375,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Simple Site Business (159-459MHz),,,,
26,Simple Site (Business): Mobile,458.55,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Simple Site Business (159-459MHz),,,,
27,Simple Site (Business): Mobile,458.5625,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Simple Site Business (159-459MHz),,,,
28,Simple Site (Business): Mobile,458.775,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Simple Site Business (159-459MHz),,,,
29,Simple Site (Business): Base Mobile,459.05,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Simple Site Business (159-459MHz),,,,
30,Simple Site (Business): Base Mobile,459.1,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Simple Site Business (159-459MHz),,,,
