Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,Simple UK Light,164.05,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Simple UK Light (164-458MHz),,,,
2,Simple UK Light,164.0625,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Simple UK Light (164-458MHz),,,,
3,Simple UK Light,169.0875,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Simple UK Light (164-458MHz),,,,
4,Simple UK Light,169.3125,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Simple UK Light (164-458MHz),,,,
5,Simple UK Light,173.05,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Simple UK Light (164-458MHz),,,,
6,Simple UK Light,173.0625,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Simple UK Light (164-458MHz),,,,
7,Simple UK Light,173.0875,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Simple UK Light (164-458MHz),,,,
8,Simple UK Light,449.3125,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Simple UK Light (164-458MHz),,,,
9,Simple UK Light,449.4,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Simple UK Light (164-458MHz),,,,
10,Simple UK Light,449.475,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Simple UK Light (164-458MHz),,,,
11,Simple UK Light,458.7875,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Simple UK Light (164-458MHz),,,,
12,Simple UK Light,458.8,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Simple UK Light (164-458MHz),,,,
13,Simple UK Light,458.8125,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Simple UK Light (164-458MHz),,,,
14,Simple UK Light,458.825,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Simple UK Light (164-458MHz),,,,
