Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,Suppliers Light: Mobile and Single,158.7875,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Suppliers Light (158-462MHz),,,,
2,Suppliers Light: Mobile and Single,159.1875,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Suppliers Light (158-462MHz),,,,
3,Suppliers Light: Mobile and Single,159.25,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Suppliers Light (158-462MHz),,,,
4,Suppliers Light: Mobile and Single,159.35,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Suppliers Light (158-462MHz),,,,
5,Suppliers Light: Mobile,159.4,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Suppliers Light (158-462MHz),,,,
6,Suppliers Light: Mobile,159.425,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Suppliers Light (158-462MHz),,,,
7,Suppliers Light: Mobile and Single,159.45,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Suppliers Light (158-462MHz),,,,
8,Suppliers Light: Single,159.4875,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Suppliers Light (158-462MHz),,,,
9,Suppliers Light: Single,159.5,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Suppliers Light (158-462MHz),,,,
10,Suppliers Light: Single,159.5875,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Suppliers Light (158-462MHz),,,,
11,Suppliers Light: Single,159.625,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Suppliers Light (158-462MHz),,,,
12,Suppliers Light: Single,159.6875,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Suppliers Light (158-462MHz),,,,
13,Suppliers Light: Base and Single,163.2875,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Suppliers Light (158-462MHz),,,,
14,Suppliers Light: Base and Single,163.6875,,0.0,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,4.0W,Suppliers Light (158-462MHz),,,,
