Description,Frequency
Channel 00 Coastguard SAR,156
Channel 01 Ship to Shore Public & Port Ops Duplex (shore 160.650),156.05
Channel 02 Ship to Shore Public & Port Ops Duplex (shore 160.700),156.1
Channel 03 Ship to Shore Public & Port Ops Duplex (shore 160.750),156.15
Channel 04 Ship to Shore Public & Port Ops Duplex (shore 160.800),156.2
Channel 05 Ship to Shore Public & Port Ops Duplex (shore 160.850),156.25
Channel 06 Intership Ship to Air & SAR,156.3
Channel 07 Ship to Shore Public & Port Ops Duplex (shore 160.950),156.35
Channel 08 Intership Working,156.4
Channel 09 Intership & Port Ops,156.45
Channel 1 Shore to Ship Public & Port OPS Duplex (shore 156.050),160.65
Channel 2 Shore to Ship Public & Port OPS Duplex (shore 156.100),160.7
Channel 3 Shore to Ship Public & Port OPS Duplex (shore 156.150),160.75
Channel 4 Shore to Ship Public & Port OPS Duplex (shore 156.200),160.8
Channel 5 Shore to Ship Public & Port OPS Duplex (shore 156.250),160.85
Channel 7 Shore to Ship Public & Port OPS Duplex (shore 156.350),160.95
Channel 10 Intership & Port Ops,156.5
Channel 11 Port Ops,156.55
Channel 12 Port Ops,156.6
Channel 13 Intership Nav & Safety,156.65
Channel 14 Port Ops,156.7
Channel 15 Intership & Inland Waterways,156.75
Channel 16 Distress,156.8
Channel 17 Intership & Inland Waterways,156.85
Channel 18 Ship to Shore Port Ops Duplex (shore 161.500),156.9
Channel 18 Shore to Ship Port Ops Duplex (shore 156.900),161.5
Channel 19 Ship to Shore Port Ops Duplex (shore 161.550)(CH 1019 Simplex),156.95
Channel 19 Shore to Ship Port Ops Duplex (shore 156.950)(CH 2019 Simplex),161.55
Channel 20 Ship to Shore Port Ops Duplex (shore 161.600)(CH 1020 Simplex),157
Channel 20 Shore to Ship Port Ops Duplex (shore 157.000)(CH 2020 Simplex),161.6
Channel 21 Ship to Shore Port Ops Duplex (shore 161.650),157.05
Channel 21 Shore to Ship Port Ops Duplex (shore 157.050),161.65
Channel 22 Ship to Shore Port Ops Duplex (shore 161.700),157.1
Channel 22 Shore to Ship Port Ops Duplex (shore 157.100),161.7
Channel 23 Ship to Shore Public & Coastguard Medilink Duplex (shore 161.750),157.15
Channel 23 Shore to Ship Public & Coastguard Medilink Duplex (shore 157.150),161.75
Channel 24 Ship to Shore Public Duplex (shore 161.800),157.2
Channel 24 Shore to Ship Public Duplex (shore 157.200),161.8
Channel 25 Ship to Shore Public Duplex (shore 161.850),157.25
Channel 25 Shore to Ship Public Duplex (shore 157.250),161.85
Channel 26 Ship to Shore Public Duplex (shore 161.900),157.3
Channel 26 Shore to Ship Public Duplex (shore 157.300),161.9
