Description,Frequency
ISS Voice/SSTV,145.8
RV46,145.575
RV47,145.5875
RV48,145.6
RV49,145.6125
RV50,145.625
RV51,145.6375
RV52,145.65
RV53,145.6625
RV54,145.675
RV55,145.6875
RV56,145.7
RV57,145.7125
RV58,145.725
RV59,145.7375
RV60,145.75
RV61,145.7625
RV62,145.775
RV63,145.7875
V16,145.2
V17,145.2125
V18,145.225
V19,145.2375
V20,145.25
V21,145.2625
V22,145.275
V23,145.2875
V24,145.3
V25,145.3125
V26,145.325
V27,145.3375
V28,145.35
V29,145.3625
V30,145.375
V31,145.3875
V32,145.4
V33,145.4125
V34,145.425
V35,145.4375
V36,145.45
V37,145.4625
V38,145.475
V39,145.4875
V40 FM Calling Channel,145.5
V41,145.5125
V42,145.525
V43,145.5375
V44,145.55
V45,145.5625
V46,145.57
