ICAO,AIRPORT,Frequency,SERVICE
EGPD,ABERDEEN,455.8125,UNKNOWN
EGAC,BELFAST CITY,455.4875,TOWER
EGAA,BELFAST INTERNATIONAL,455.8375,TOWER
EGBB,BIRMINGHAM,455.475,GROUND
EGNH,BLACKPOOL,455.775,TOWER
EGHH,BOURNEMOUTH,455.7,GROUND
EGHH,BOURNEMOUTH,455.4875,TOWER
EGGD,BRISTOL,455.525,GROUND
EGGD,BRISTOL,455.8,TOWER
EGTG,BRISTOL FILTON (DISUSED),455.65,GROUND
EGTG,BRISTOL FILTON (DISUSED),455.6,TOWER
EGSC,CAMBRIDGE,455.7375,GROUND
EGSC,CAMBRIDGE,455.7875,TOWER
EGBE,COVENTRY,455.5375,GROUND
EGTC,CRANFIELD,455.525,TOWER
EGCN,DONCASTER SHEFFIELD,455.6375,GROUND
EGCN,DONCASTER SHEFFIELD,455.5625,TOWER
EGNV,DURHAM TEES VALLEY,455.7625,UNKNOWN
EGNX,EAST MIDLANDS,455.4875,GROUND
EGNX,EAST MIDLANDS,455.525,TOWER
EGPH,EDINBURGH,455.8375,TOWER
EGKK,GATWICK,455.475,GROUND
EGPF,GLASGOW INTERNATIONAL,455.7,GROUND
EGPF,GLASGOW INTERNATIONAL,455.8375,TOWER
EGPK,GLASGOW PRESTWICK,455.625,TOWER
EGBJ,GLOUCESTER STAVERTON,455.55,GROUND
EGJB,GUERNSEY,455.5,TOWER
EGNR,HAWARDEN,455.7,TOWER
ECNJ,HUMBERSIDE,455.625,UNKNOWN
ECNJ,HUMBERSIDE,455.55,UNKNOWN
ECNJ,HUMBERSIDE,455.75,UNKNOWN
EGPE,INVERNESS,455.775,TOWER
EGHC,LANDS END,455.4875,TOWER
EGNM,LEEDS BRADFORD,455.4875,UNKNOWN
EGNM,LEEDS BRADFORD,455.55,UNKNOWN
EGNM,LEEDS BRADFORD,455.6125,TOWER
EGNM,LEEDS BRADFORD,455.7,UNKNOWN
EGGP,LIVERPOOL,455.6375,UNKNOWN
EGGP,LIVERPOOL,455.4875,GROUND
EGGP,LIVERPOOL,455.8,GROUND
EGLL,LONDON CITY,455.7125,TOWER
EGLL,LONDON HEATHROW,455.65,UNKNOWN
EGLL,LONDON HEATHROW,455.7,TOWER
EGLL,LONDON HEATHROW,455.525,TOWER
EGLL,LONDON HEATHROW,455.55,GROUND
EGGW,LONDON LUTON,455.75,TOWER
EGGW,LONDON LUTON,455.825,GROUND
EGTK,LONDON OXFORD,455.625,TOWER
EGTK,LONDON OXFORD,455.6375,TOWER
EGTK,LONDON OXFORD,455.5,TOWER
EGTK,LONDON OXFORD,455.5625,TOWER
EGTK,LONDON OXFORD,455.6,TOWER
EGSS,LONDON STANSTED,455.55,TOWER
EGMD,LYDD,455.8375,TOWER
EGCC,MANCHESTER,455.65,GROUND
EGCC,MANCHESTER,455.525,UNKNOWN
EGCC,MANCHESTER,455.55,TOWER
EGMH,MANSTON (DISUSED),455.55,TOWER
EGNT,NEWCASTLE,455.75,TOWER
EGNS,RONALDSWAY,455.6875,TOWER
EGCN,SHEFFIELD CITY (DISUSED),455.625,UNKNOWN
EGCN,SHEFFIELD CITY (DISUSED),455.75,UNKNOWN
EGCN,SHEFFIELD CITY (DISUSED),455.8125,UNKNOWN
EGFH,SWANSEA,455.55,TOWER
EGNO,WARTON,455.625,UNKNOWN
EGPC,WICK JON O' GROATS,455.8125,GROUND
