Description,Frequency
PMSE 446 Base B1,446.43125
PMSE 446 Base A1 B2,446.45625
PMSE 446 Base B3,446.49375
PMSE 446 Base A2,446.50625
PMSE 446 Base B4,446.56875
PMSE 446 Base A3,446.58125
PMSE 446 Base A4,446.60625
PMSE 446 Base A5 B5,446.78125
PMSE 446 Base B6,446.88125
PMSE 446 Base A6,446.89375
PMSE 447 Base Simplex 1,447.01875
PMSE 447 Base Simplex 2,447.03125
PMSE 447 Base Simplex 3,447.04375
PMSE 447 Base Simplex 4,447.05625
PMSE 447 Base Simplex 5,447.36875
PMSE 447 Base Simplex 6,447.38125
PMSE 447 Base Simplex 7,447.39375
PMSE 447 Base Simplex 8,447.40625
PMSE 447 Base Simplex 9,447.41875
PMSE 447 Base Simplex 10,447.43125
PMSE 447 Base Simplex 11,447.44375
PMSE 447 Base Simplex 12,447.45625
PMSE 447 Base Simplex 13,447.46875
PMSE 447 Base Simplex 14,447.48125
PMSE 447 Base Simplex 15,447.49375
PMSE 447 Base Simplex 16,447.50625
PMSE 455 Base D1 London Only,454.99375
PMSE 455 Base A1E1T1,455.00625
PMSE 455 Base D2 London Only,455.01875
PMSE 455 Base A2G1T2,455.03125
PMSE 455 Base F1,455.09375
PMSE 455 News Base 1,455.10625
PMSE 455 News Base 2,455.11875
PMSE 455 Base E2,455.13125
PMSE 455 Base A3F2,455.19375
PMSE 455 Base D3 London Only,455.20625
PMSE 455 Base B1G2T3,455.21875
PMSE 455 Base A4F3,455.23125
PMSE 455 News Base 3,455.24375
PMSE 455 Base C1G3T4,455.25625
PMSE 455 News Base 4,455.26875
PMSE 455 Base B2C2G4,455.28125
PMSE 455 Base B3C3E3,455.39375
PMSE 455 News Base 5,455.40625
PMSE 455 Base E4,455.41875
PMSE 455 News Base 6,455.43125
PMSE 455 News 7 Simplex,455.44375
PMSE 455 News Base 8,455.45625
PMSE Base C1,457.25625
PMSE Base A1,457.26875
PMSE Base B1,457.28125
PMSE Base D1,457.29375
PMSE Base A2,457.30625
PMSE Base E1,457.31875
PMSE Base A3,457.33125
PMSE Base D2,457.34375
PMSE Base B2,457.35625
