Description,Frequency
Mobile,159.6375
Mobile,159.65
Mobile,159.6625
Mobile,159.675
Mobile,159.7
Mobile,161
Mobile,161.0125
Mobile,161.025
Mobile,161.0375
Mobile,161.05
Mobile,161.0625
Mobile,161.075
Mobile,161.0875
Mobile,161.1
Mobile,161.1125
Mobile,164.2
Base,451.5125
Base,451.525
Base,451.5375
Base,451.55
Base,451.5625
Base,451.775
Mobile,458.5125
Mobile,458.525
Mobile,458.5375
Mobile,458.55
Mobile,458.5625
Mobile,458.775
Base Mobile,459.05
Base Mobile,459.1
Base Mobile,459.125
Base Mobile,459.15
Base Mobile,459.175
Base Mobile,459.2
Base Mobile,459.225
Base Mobile,459.25
Base Mobile,459.275
Base Mobile,459.3
Base Mobile,459.325
Base Mobile,459.35
Base Mobile,459.375
Base Mobile,459.4
Base Mobile,459.425
Base Mobile,459.45
