Description,Frequency
Mobile and Single,158.7875
Mobile and Single,159.1875
Mobile and Single,159.25
Mobile and Single,159.35
Mobile,159.4
Mobile,159.425
Mobile and Single,159.45
Single,159.4875
Single,159.5
Single,159.5875
Single,159.625
Single,159.6875
Base and Single,163.2875
Base and Single,163.6875
Base and Single,163.75
Base and Single,163.85
Base and Single,163.9
Base and Single,163.925
Base and Single,163.95
Single,163.9875
Single,164
Single,164.0875
Single,164.125
Single,164.1875
Base and Single,167.2
Single,169.0125
Single,169.1375

Single,169.1625
Single,169.1875
Mobile and Single,172
Base and Single,453.6875
Base and Single,454.425
Base,456.0125
Base,456.3375
Base and Single,456.3875
Base,456.4625
Base,456.5625
Base,456.6875
Single,456.8625
Base and Single,456.925
Base,456.9625
Base and Single,456.9875
Mobile and Single,460.1875
Mobile and Single,461.425
Mobile,461.5125
Mobile,461.8375
Mobile and Single,461.8875
Mobile,461.9625
Mobile,462.0625
Mobile,462.1875
Single,462.3625
Mobile and Single,462.425
Mobile,462.4625
Single,462.475
Mobile,462.4875
